id;name;reg_no;zone;category;serial_no;vehicle_no;chasis_no;is_personal;is_black_listed;log_status
1;scratchy disrespect;ha flawed;instruction;excluding but grumpy;by underwear oof;towards ha;near aromatic fedelini;true;true;DRAFT
2;high mobilize;urban;yet phew;how;frankly miss cellar;interestingly unlike;scarcely balloon metronome;true;false;APPROVED
3;fit yum;pitch;aggravating supposing before;handsome;fooey;interesting;hence;true;true;APPROVED
4;after ouch on;till ugh because;yet unnecessarily;versus taste;nearest while;revascularization along;zesty;false;false;DRAFT
5;deceivingly beside fond;regarding hmph breastplate;beside clumsy;tourism;inasmuch loftily dutiful;gah;into honest;true;true;APPROVED
6;cooked curiously barren;who boo;ouch towards;micromanage below lovable;round abstain footrest;abnormally merrily so;so;false;true;PENDING
7;unselfish practical;equally nourish;per plunger;offensively;fatal trustworthy;uh-huh acclaim impractical;sentimentalize punctually;false;false;APPROVED
8;ouch aha;winter;upliftingly flame pigpen;jovial;furthermore yet so;which;remand upsell indeed;false;true;APPROVED
9;crunch bird-watcher hurtful;sic;justly from fatally;physically;lone;ugh lest;imaginative triangular;true;false;REJECTED
10;out instead;upbeat;outface ripe;ick zowie gah;when neatly;through;although crystallography;true;false;DRAFT
